,lenght,type_of_gene
ENSG00000273305,,unknown
ENSG00000138669,127747.0,protein-coding
ENSG00000250927,,unknown
ENSG00000174013,20448.0,protein-coding
ENSG00000235110,,unknown
ENSG00000277670,,unknown
ENSG00000227863,,unknown
ENSG00000196704,9590.0,protein-coding
ENSG00000251332,,unknown
ENSG00000259235,,unknown
ENSG00000258507,,unknown
ENSG00000178821,1683.0,protein-coding
ENSG00000244019,,unknown
ENSG00000222054,,unknown
ENSG00000106069,367759.0,protein-coding
ENSG00000243911,,unknown
ENSG00000232301,,ncRNA
ENSG00000267871,,antisense
ENSG00000227851,,unknown
ENSG00000225715,,unknown
ENSG00000271934,,unknown
ENSG00000271919,,unknown
ENSG00000176928,5553.0,protein-coding
ENSG00000233714,,unknown
ENSG00000129455,6704.0,protein-coding
ENSG00000253049,,unknown
ENSG00000240250,,unknown
ENSG00000277889,,microRNA
ENSG00000216902,,unknown
ENSG00000265875,,unknown
ENSG00000237666,,unknown
ENSG00000161896,25235.0,protein-coding
ENSG00000254672,,unknown
ENSG00000143033,59846.0,protein-coding
ENSG00000256150,,antisense
ENSG00000106410,12987.0,protein-coding
ENSG00000259956,6640.0,protein-coding
ENSG00000150773,10264.0,protein-coding
ENSG00000227958,,unknown
ENSG00000267083,,unknown
ENSG00000274335,,unknown
ENSG00000259847,,intergenic
ENSG00000226668,,unknown
ENSG00000268140,,unknown
ENSG00000278987,,unknown
ENSG00000250006,,unknown
ENSG00000236313,,unknown
ENSG00000273085,925.0,protein-coding
ENSG00000260729,,unknown
ENSG00000205362,1421.0,protein-coding
ENSG00000245667,,unknown
ENSG00000203818,410.0,protein-coding
ENSG00000258517,,unknown
ENSG00000254768,,unknown
ENSG00000202050,,unknown
ENSG00000259799,,unknown
ENSG00000230533,,unknown
ENSG00000196296,26104.0,protein-coding
ENSG00000270457,,unknown
ENSG00000230481,,unknown
ENSG00000252861,,unknown
ENSG00000231952,,unknown
ENSG00000280956,,unknown
ENSG00000205331,,unknown
ENSG00000279123,,unknown
ENSG00000206791,,unknown
ENSG00000109805,33960.0,protein-coding
ENSG00000211978,,unknown
ENSG00000212039,,unknown
ENSG00000203780,113053.0,protein-coding
ENSG00000111641,11828.0,protein-coding
ENSG00000221923,15878.0,protein-coding
ENSG00000163975,41195.0,protein-coding
ENSG00000239893,,unknown
ENSG00000127329,121574.0,protein-coding
ENSG00000257815,,intergenic
ENSG00000262358,,unknown
ENSG00000250594,,unknown
ENSG00000077044,117597.0,protein-coding
ENSG00000263570,,unknown
ENSG00000143183,103462.0,protein-coding
ENSG00000229941,,unknown
ENSG00000279455,,unknown
ENSG00000108774,30068.0,protein-coding
ENSG00000125522,1351.0,protein-coding
ENSG00000183696,20105.0,protein-coding
ENSG00000273826,,unknown
ENSG00000228318,,unknown
ENSG00000275261,,unknown
ENSG00000212025,,unknown
ENSG00000279874,,unknown
ENSG00000269680,,unknown
ENSG00000279859,,unknown
ENSG00000222129,,unknown
ENSG00000225758,,unknown
ENSG00000269113,236367.0,protein-coding
ENSG00000231302,,unknown
ENSG00000268442,,unknown
ENSG00000244031,,unknown
ENSG00000281158,,unknown
ENSG00000268957,,unknown
ENSG00000231392,,unknown
ENSG00000166126,10940.0,protein-coding
ENSG00000276289,13251.0,protein-coding
ENSG00000129451,7436.0,protein-coding
ENSG00000260000,,unknown
ENSG00000254312,,unknown
ENSG00000259981,,unknown
ENSG00000117139,84975.0,protein-coding
ENSG00000244025,521.0,protein-coding
ENSG00000001460,59935.0,protein-coding
ENSG00000241057,,unknown
ENSG00000135723,18271.0,protein-coding
ENSG00000080031,28258.0,protein-coding
ENSG00000168300,81611.0,protein-coding
ENSG00000234206,,unknown
ENSG00000196772,9459.0,protein-coding
ENSG00000255531,,unknown
ENSG00000200693,,unknown
ENSG00000268947,,unknown
ENSG00000231982,,unknown
ENSG00000145451,192400.0,protein-coding
ENSG00000250420,,pseudo
ENSG00000227097,,unknown
ENSG00000236764,,unknown
ENSG00000106125,120970.0,protein-coding
ENSG00000076984,10635.0,protein-coding
ENSG00000234595,,unknown
ENSG00000232360,,unknown
ENSG00000271824,1666.0,protein-coding
ENSG00000218018,,ncRNA
ENSG00000133624,,pseudo
ENSG00000253801,,unknown
ENSG00000209082,,unknown
ENSG00000125843,8313.0,protein-coding
ENSG00000155974,721731.0,protein-coding
ENSG00000243664,,unknown
ENSG00000105053,49479.0,protein-coding
ENSG00000235976,,unknown
ENSG00000267717,,unknown
ENSG00000232002,,intergenic
ENSG00000221539,,snoRNA
ENSG00000279064,,unknown
ENSG00000254920,,unknown
ENSG00000231378,,unknown
ENSG00000257323,,unknown
ENSG00000257364,,unknown
ENSG00000260286,1568.0,protein-coding
ENSG00000117394,33801.0,protein-coding
ENSG00000226235,,antisense
ENSG00000261654,,unknown
ENSG00000125084,3223.0,protein-coding
ENSG00000264799,,unknown
ENSG00000263834,,microRNA
ENSG00000251615,,unknown
ENSG00000254227,,unknown
ENSG00000259443,,unknown
ENSG00000241537,,unknown
ENSG00000030304,132849.0,protein-coding
ENSG00000172288,2740.0,protein-coding
ENSG00000270369,,unknown
ENSG00000258678,,intergenic
ENSG00000233469,,unknown
ENSG00000238211,,unknown
ENSG00000220256,,unknown
ENSG00000212497,,unknown
ENSG00000280799,,unknown
ENSG00000261840,1351.0,protein-coding
ENSG00000234769,,unknown
ENSG00000252705,,unknown
ENSG00000199812,,unknown
ENSG00000164266,7218.0,protein-coding
ENSG00000261399,,unknown
ENSG00000258467,,unknown
ENSG00000241815,,unknown
ENSG00000187135,37980.0,protein-coding
ENSG00000206344,,ncRNA
ENSG00000274491,,unknown
ENSG00000240877,,unknown
ENSG00000278126,,unknown
ENSG00000253713,,unknown
ENSG00000278981,,unknown
ENSG00000214929,6484.0,protein-coding
ENSG00000248548,,unknown
ENSG00000168237,6387.0,protein-coding
ENSG00000009724,20710.0,protein-coding
ENSG00000237424,,ncRNA
ENSG00000228045,,unknown
ENSG00000177519,1470.0,protein-coding
ENSG00000263392,,unknown
ENSG00000105048,16560.0,protein-coding
ENSG00000280106,,unknown
ENSG00000228360,,unknown
ENSG00000228166,,unknown
ENSG00000260414,,unknown
ENSG00000198888,955.0,protein-coding
ENSG00000143224,11603.0,protein-coding
ENSG00000280483,,unknown
ENSG00000242524,,unknown
ENSG00000236878,,unknown
ENSG00000206047,2431.0,protein-coding
ENSG00000231496,,unknown
ENSG00000258743,,intergenic
ENSG00000049239,36562.0,protein-coding
ENSG00000089902,137915.0,protein-coding
ENSG00000178075,118992.0,protein-coding
ENSG00000227964,,intergenic
ENSG00000261733,,unknown
ENSG00000223316,,unknown
ENSG00000108443,57518.0,protein-coding
ENSG00000269921,,unknown
ENSG00000272734,,unknown
ENSG00000106571,276920.0,protein-coding
ENSG00000263631,,microRNA
ENSG00000228316,,unknown
ENSG00000229406,,unknown
ENSG00000226824,,unknown
ENSG00000221523,,unknown
ENSG00000152049,146585.0,protein-coding
ENSG00000230707,,unknown
ENSG00000266563,,unknown
ENSG00000123364,7779.0,protein-coding
ENSG00000225082,,unknown
ENSG00000255153,,antisense
ENSG00000261663,,unknown
ENSG00000196227,14916.0,protein-coding
ENSG00000249996,,unknown
ENSG00000248842,,unknown
ENSG00000230080,,unknown
ENSG00000253829,,unknown
ENSG00000072694,15507.0,protein-coding
ENSG00000188186,7037.0,protein-coding
ENSG00000175309,24294.0,protein-coding
ENSG00000212211,,unknown
ENSG00000275592,,unknown
ENSG00000248935,,unknown
ENSG00000150477,403066.0,protein-coding
ENSG00000231203,,unknown
ENSG00000236489,,unknown
ENSG00000238731,,unknown
ENSG00000011052,18154.0,protein-coding
ENSG00000236690,,unknown
ENSG00000181649,1182.0,protein-coding
ENSG00000110395,107650.0,protein-coding
ENSG00000223922,,unknown
ENSG00000254425,,unknown
ENSG00000276499,,unknown
ENSG00000107018,4904.0,protein-coding
ENSG00000248480,,unknown
ENSG00000254174,,unknown
ENSG00000239679,,unknown
ENSG00000228790,,unknown
ENSG00000260799,,unknown
ENSG00000128973,50219.0,protein-coding
ENSG00000100842,9350.0,protein-coding
ENSG00000234363,,unknown
ENSGR0000167393,,unknown
ENSG00000266246,,unknown
ENSG00000223905,,unknown
ENSG00000116285,21904.0,protein-coding
ENSG00000244756,,unknown
ENSG00000167880,22950.0,protein-coding
ENSG00000265948,,unknown
ENSG00000270930,,unknown
ENSG00000279273,,unknown
ENSG00000139656,17714.0,protein-coding
ENSG00000232140,,unknown
ENSG00000254418,,unknown
ENSG00000104998,21468.0,protein-coding
ENSG00000278530,,pseudo
ENSG00000279952,,unknown
ENSG00000230806,,antisense
ENSG00000082068,374223.0,protein-coding
ENSG00000258064,,unknown
ENSG00000186723,11115.0,protein-coding
ENSG00000137948,65055.0,protein-coding
ENSG00000222805,,unknown
ENSG00000165312,2932.0,protein-coding
ENSG00000235204,,unknown
ENSG00000136319,49436.0,protein-coding
ENSG00000249915,82235.0,protein-coding
ENSG00000232167,,unknown
ENSG00000277073,,microRNA
ENSG00000244657,,unknown
ENSG00000241231,,unknown
ENSG00000255774,,ncRNA
ENSG00000181991,13320.0,protein-coding
ENSG00000226544,,unknown
ENSG00000201920,,unknown
ENSG00000079819,223975.0,protein-coding
ENSG00000234460,,unknown
ENSG00000044524,374610.0,protein-coding
ENSG00000213753,,pseudo
ENSG00000197927,,unknown
ENSG00000221725,,unknown
ENSG00000251359,,antisense
ENSG00000254146,,unknown
ENSG00000253346,,unknown
ENSG00000211452,19847.0,protein-coding
ENSG00000143793,4685.0,protein-coding
ENSG00000134333,14037.0,protein-coding
ENSG00000275212,,unknown
ENSG00000244544,,unknown
ENSG00000277250,,unknown
ENSG00000143184,5604.0,protein-coding
ENSG00000266392,,microRNA
ENSG00000261798,,ncRNA
ENSG00000114062,105328.0,protein-coding
ENSG00000119772,114735.0,protein-coding
ENSG00000213509,,unknown
ENSG00000271821,,unknown
ENSG00000229642,,unknown
ENSG00000138735,134596.0,protein-coding
ENSG00000251838,,unknown
ENSG00000265727,,unknown
ENSG00000275491,,unknown
ENSG00000252130,,unknown
ENSG00000279013,,unknown
ENSG00000131845,8591.0,protein-coding
ENSG00000280186,,unknown
ENSG00000259631,,unknown
ENSG00000182220,27476.0,protein-coding
ENSG00000241757,,unknown
ENSG00000253153,,unknown
ENSG00000166896,53109.0,protein-coding
ENSG00000167676,16285.0,protein-coding
ENSG00000280007,,unknown
ENSG00000232177,,unknown
ENSG00000275944,,unknown
ENSG00000201683,,unknown
ENSG00000185839,,unknown
ENSG00000233290,,unknown
ENSG00000223608,,unknown
ENSG00000231261,,unknown
ENSG00000228696,87013.0,protein-coding
ENSG00000229456,,unknown
ENSG00000281222,,unknown
ENSG00000213187,,unknown
ENSG00000207176,,unknown
ENSG00000199077,,microRNA
ENSG00000102007,3313.0,protein-coding
ENSG00000242411,,unknown
ENSG00000118094,22374.0,protein-coding
ENSG00000270507,,unknown
ENSG00000048162,5037.0,protein-coding
ENSG00000146535,116212.0,protein-coding
ENSG00000135547,13605.0,protein-coding
ENSG00000168306,32183.0,protein-coding
ENSG00000280341,,unknown
ENSG00000064102,33145.0,protein-coding
ENSG00000148426,48938.0,protein-coding
ENSG00000115685,34076.0,protein-coding
ENSG00000249916,,unknown
ENSG00000271200,,unknown
ENSG00000276669,,unknown
ENSG00000228404,,unknown
ENSG00000253538,,unknown
ENSG00000275859,,microRNA
ENSG00000249309,,unknown
ENSG00000167332,17683.0,protein-coding
ENSG00000255236,,unknown
ENSG00000235382,,unknown
ENSG00000130649,40814.0,protein-coding
ENSG00000100029,30458.0,protein-coding
ENSG00000248574,,unknown
ENSG00000274160,,unknown
ENSG00000259248,,unknown
ENSG00000211685,,unknown
ENSG00000268620,,unknown
ENSG00000207620,,microRNA
ENSG00000255508,,unknown
ENSG00000119471,92473.0,protein-coding
ENSG00000252540,,unknown
ENSG00000229086,,unknown
ENSG00000228929,,unknown
ENSG00000264054,,unknown
ENSG00000231061,,intergenic
ENSG00000172345,15130.0,protein-coding
ENSG00000224650,,unknown
ENSG00000236461,,ncRNA
ENSG00000132300,35975.0,protein-coding
ENSG00000229107,,unknown
ENSG00000211779,,unknown
ENSG00000175894,213688.0,protein-coding
ENSG00000213777,,unknown
ENSG00000223985,,intergenic
ENSG00000100197,4407.0,protein-coding
ENSG00000162076,16196.0,protein-coding
ENSG00000182667,966344.0,protein-coding
ENSG00000250813,,unknown
ENSG00000274010,,unknown
ENSG00000260933,,unknown
ENSG00000197919,862.0,protein-coding
ENSG00000263878,,antisense
ENSG00000226806,,ncRNA
ENSG00000255460,,unknown
ENSG00000267567,,unknown
ENSG00000250694,,unknown
ENSG00000242976,,unknown
ENSG00000225675,,intergenic
ENSG00000249741,,unknown
ENSG00000206617,,unknown
ENSG00000207249,,unknown
ENSG00000266586,,unknown
ENSG00000264212,,unknown
ENSG00000204519,35332.0,protein-coding
ENSG00000201699,,unknown
ENSG00000229117,1357.0,protein-coding
ENSG00000225716,,unknown
ENSG00000251810,,unknown
ENSG00000057149,6766.0,protein-coding
ENSG00000200034,,unknown
ENSG00000277746,,unknown
ENSG00000100628,42638.0,protein-coding
ENSG00000251919,,unknown
ENSG00000243250,,unknown
ENSG00000272461,,unknown
ENSG00000158481,3844.0,protein-coding
ENSG00000243543,5299.0,protein-coding
ENSG00000271419,,unknown
ENSG00000270863,,unknown
ENSG00000173272,27843.0,protein-coding
ENSG00000207546,,microRNA
ENSG00000214295,,unknown
ENSG00000075914,60825.0,protein-coding
ENSG00000222346,,unknown
ENSG00000221118,,unknown
ENSG00000254814,,unknown
ENSG00000225455,,unknown
ENSG00000197444,27736.0,protein-coding
ENSG00000233376,,unknown
ENSG00000168811,7269.0,protein-coding
ENSG00000254081,,intergenic
ENSG00000137440,3171.0,protein-coding
ENSG00000249908,,unknown
ENSG00000240626,,unknown
ENSG00000222472,,unknown
ENSG00000158483,13726.0,protein-coding
ENSG00000212961,,unknown
ENSG00000132031,20583.0,protein-coding
ENSG00000275894,,unknown
ENSG00000232806,,unknown
ENSG00000165195,16129.0,protein-coding
ENSG00000254411,,unknown
ENSG00000265737,,unknown
ENSG00000249184,,unknown
ENSG00000070444,17058.0,protein-coding
ENSG00000260694,,unknown
ENSG00000265457,,unknown
ENSG00000236998,,unknown
ENSG00000066697,24555.0,protein-coding
ENSG00000236317,,unknown
ENSG00000265574,,unknown
ENSG00000226053,,intergenic
ENSG00000237390,,unknown
ENSG00000182613,11699.0,protein-coding
ENSG00000083444,41333.0,protein-coding
ENSG00000247775,,antisense
ENSG00000196748,2958.0,protein-coding
ENSG00000235444,,unknown
ENSG00000200883,,unknown
ENSG00000246526,,intergenic
ENSG00000236674,,unknown
ENSG00000199910,,rRNA
ENSG00000253026,,unknown
ENSG00000259042,,unknown
ENSG00000007312,3614.0,protein-coding
ENSG00000273720,,unknown
ENSG00000202440,,unknown
ENSG00000145982,568148.0,protein-coding
ENSG00000274979,,unknown
ENSG00000181381,181051.0,protein-coding
ENSG00000277506,,unknown
ENSG00000112303,19589.0,protein-coding
ENSG00000214193,18499.0,protein-coding
ENSG00000212314,,unknown
ENSG00000227335,,unknown
ENSG00000232987,,unknown
ENSG00000239911,,unknown
ENSG00000241098,,intergenic
ENSG00000142552,19344.0,protein-coding
ENSG00000149923,9399.0,protein-coding
ENSG00000235141,,unknown
ENSG00000278977,,unknown
ENSG00000226431,,unknown
ENSG00000207972,,microRNA
ENSG00000188385,80138.0,protein-coding
ENSG00000231434,,unknown
ENSG00000279410,,unknown
ENSG00000272079,,unknown
ENSG00000149925,6293.0,protein-coding
ENSG00000254222,,unknown
ENSG00000271321,2607.0,protein-coding
ENSG00000144959,80969.0,protein-coding
ENSG00000139613,26584.0,protein-coding
ENSG00000111783,179896.0,protein-coding
ENSG00000197893,75411.0,protein-coding
ENSG00000223864,,unknown
ENSG00000277539,,unknown
ENSG00000117602,38689.0,protein-coding
ENSG00000207257,,unknown
ENSG00000054983,155845.0,protein-coding
ENSG00000173276,23556.0,protein-coding
ENSG00000265144,,microRNA
ENSG00000163376,12903.0,protein-coding
ENSG00000207944,,microRNA
ENSG00000112200,83463.0,protein-coding
ENSG00000223634,,unknown
ENSG00000231597,,unknown
ENSG00000267206,4517.0,protein-coding
ENSG00000108590,8319.0,protein-coding
ENSG00000101236,88273.0,protein-coding
ENSG00000099385,61334.0,protein-coding
ENSG00000201263,,snoRNA
ENSG00000250990,,unknown
ENSG00000113360,131699.0,protein-coding
ENSG00000264874,,unknown
ENSG00000207963,,microRNA
ENSG00000161904,17934.0,protein-coding
ENSG00000186265,35593.0,protein-coding
ENSG00000266715,,unknown
ENSG00000200313,,unknown
ENSG00000231738,21966.0,protein-coding
ENSG00000211679,,unknown
ENSG00000276699,,unknown
ENSG00000170325,103129.0,protein-coding
ENSG00000261504,,intergenic
ENSG00000199767,,unknown
ENSG00000278761,,unknown
ENSG00000232386,,unknown
ENSG00000277770,,unknown
ENSG00000230107,,unknown
ENSG00000267714,,unknown
ENSG00000156467,9714.0,protein-coding
ENSG00000212144,,unknown
ENSG00000264720,,microRNA
ENSG00000165716,11480.0,protein-coding
ENSG00000230248,,unknown
ENSG00000224870,,antisense
ENSG00000204308,2439.0,protein-coding
ENSG00000169856,34089.0,protein-coding
ENSG00000272130,,unknown
ENSGR0000223773,,unknown
ENSG00000207548,,microRNA
ENSG00000183206,36246.0,protein-coding
ENSG00000265802,,unknown
ENSG00000268830,,unknown
ENSG00000266631,,unknown
ENSG00000260281,,unknown
ENSG00000173093,60766.0,protein-coding
ENSG00000132964,151134.0,protein-coding
ENSG00000233378,,unknown
ENSG00000232464,,unknown
ENSG00000280903,,unknown
ENSG00000234740,,unknown
ENSG00000231603,,unknown
ENSG00000281532,,unknown
ENSG00000183570,298760.0,protein-coding
ENSG00000101680,176070.0,protein-coding
ENSG00000223200,,unknown
ENSG00000177257,2003.0,protein-coding
ENSG00000187325,9958.0,protein-coding
ENSG00000173846,5765.0,protein-coding
ENSG00000149927,17761.0,protein-coding
ENSG00000261279,,pseudo
ENSG00000168303,8629.0,protein-coding
ENSG00000242559,,unknown
ENSG00000204022,20223.0,protein-coding
ENSG00000111785,114721.0,protein-coding
ENSG00000211866,,unknown
ENSG00000213128,,unknown
ENSG00000124900,8513.0,protein-coding
ENSG00000200303,,unknown
ENSG00000126562,16258.0,protein-coding
ENSG00000201501,,unknown
ENSG00000240870,,unknown
ENSG00000256098,,unknown
ENSG00000113441,102121.0,protein-coding
ENSG00000256195,,ncRNA
ENSG00000265655,,unknown
ENSG00000203356,,intergenic
ENSG00000251236,,unknown
ENSG00000266908,,unknown
ENSG00000251377,,unknown
ENSG00000179165,52338.0,protein-coding
ENSG00000201065,,unknown
ENSG00000082515,28341.0,protein-coding
ENSG00000257198,,unknown
ENSG00000221010,,unknown
ENSG00000242104,,unknown
ENSG00000276584,,microRNA
ENSG00000214027,,unknown
ENSG00000278060,,unknown
ENSG00000219951,,unknown
ENSG00000130287,40260.0,protein-coding
ENSG00000256657,,unknown
ENSG00000271288,,unknown
ENSG00000234275,,unknown
ENSG00000223761,,unknown
ENSG00000222990,,unknown
ENSG00000269444,,unknown
ENSG00000254075,,unknown
ENSG00000206759,,unknown
ENSG00000228502,,unknown
ENSG00000141028,,unknown
ENSG00000268181,,unknown
ENSG00000275270,,unknown
ENSG00000251568,,unknown
ENSG00000135905,277355.0,protein-coding
ENSG00000270015,,unknown
ENSG00000224354,,unknown
ENSG00000259474,,unknown
ENSG00000253658,,intergenic
ENSG00000266561,,unknown
ENSG00000276889,,unknown
ENSG00000231740,,unknown
ENSG00000011677,285124.0,protein-coding
ENSG00000117682,39012.0,protein-coding
ENSG00000239659,,unknown
ENSG00000276934,,unknown
ENSG00000154493,245449.0,protein-coding
ENSG00000227719,,unknown
ENSG00000233139,,unknown
ENSG00000248173,,unknown
ENSG00000174197,151857.0,protein-coding
ENSG00000280224,,unknown
ENSG00000249026,,unknown
ENSG00000263525,,unknown
ENSG00000254971,,unknown
ENSG00000239180,,unknown
ENSG00000175643,132043.0,protein-coding
ENSG00000168746,,intergenic
ENSG00000100626,97756.0,protein-coding
ENSG00000228797,,unknown
ENSG00000206717,,unknown
ENSG00000259402,,unknown
ENSG00000206260,800.0,protein-coding
