81168	OR8J3	olfactory receptor, family 8, subfamily J, member 3	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
390195	OR5AN1	olfactory receptor, family 5, subfamily AN, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
219956	OR9Q1	olfactory receptor, family 9, subfamily Q, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
219981	OR5A2	olfactory receptor, family 5, subfamily A, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
26696	OR2T1	olfactory receptor, family 2, subfamily T, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
26188	OR1C1	olfactory receptor, family 1, subfamily C, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
343563	OR2T29	olfactory receptor, family 2, subfamily T, member 29	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
401993	OR2T5	olfactory receptor, family 2, subfamily T, member 5	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
403239	OR2T27	olfactory receptor, family 2, subfamily T, member 27	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
391195	OR2T33	olfactory receptor, family 2, subfamily T, member 33	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
343173	OR2T3	olfactory receptor, family 2, subfamily T, member 3	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
26245	OR2M4	olfactory receptor, family 2, subfamily M, member 4	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
127062	OR2M3	olfactory receptor, family 2, subfamily M, member 3	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
401992	OR2T2	olfactory receptor, family 2, subfamily T, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
127059	OR2M5	olfactory receptor, family 2, subfamily M, member 5	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
127064	OR2T12	olfactory receptor, family 2, subfamily T, member 12	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
391192	OR2L3	olfactory receptor, family 2, subfamily L, member 3	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
81470	OR2G2	olfactory receptor, family 2, subfamily G, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
119694	OR51F2	olfactory receptor, family 51, subfamily F, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
196335	OR56B4	olfactory receptor, family 56, subfamily B, member 4	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
119682	OR51L1	olfactory receptor, family 51, subfamily L, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
401666	OR51A4	olfactory receptor, family 51, subfamily A, member 4	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
120793	OR56A4	olfactory receptor, family 56, subfamily A, member 4	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
143496	OR52B4	olfactory receptor, family 52, subfamily B, member 4	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
143502	OR52I2	olfactory receptor, family 52, subfamily I, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
390054	OR52A5	olfactory receptor, family 52, subfamily A, member 5	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
338751	OR52L1	olfactory receptor, family 52, subfamily L, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
26496	OR10A3	olfactory receptor, family 10, subfamily A, member 3	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
119679	OR52J3	olfactory receptor, family 52, subfamily J, member 3	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
120787	OR52W1	olfactory receptor, family 52, subfamily W, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
81309	OR4C15	olfactory receptor, family 4, subfamily C, member 15	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
