6870	TACR3	tachykinin receptor 3	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE						GO_SYSTEM_PROCESS		
7827	NPHS2	nephrosis 2, idiopathic, steroid-resistant (podocin)	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE						GO_SYSTEM_PROCESS		
2835	GPR12	G protein-coupled receptor 12	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE							BENPORATH_ES_WITH_H3K27ME3	
2587	GALR1	galanin receptor 1	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
2046	EPHA8	EPH receptor A8	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
1826	DSCAM	Down syndrome cell adhesion molecule	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
375567	VWC2	von Willebrand factor C domain containing 2	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE								
140679	SLC32A1	solute carrier family 32 (GABA vesicular transporter), member 1	MIKKELSEN_MEF_HCP_WITH_H3K27ME3		GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT		BENPORATH_ES_WITH_H3K27ME3	
57084	SLC17A6	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6	MIKKELSEN_MEF_HCP_WITH_H3K27ME3		GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT		BENPORATH_ES_WITH_H3K27ME3	
57369	GJD2	gap junction protein, delta 2, 36kDa	MIKKELSEN_MEF_HCP_WITH_H3K27ME3		GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY		GO_TRANSMEMBRANE_TRANSPORT		GO_SYSTEM_PROCESS	BENPORATH_ES_WITH_H3K27ME3	GO_NEUROLOGICAL_SYSTEM_PROCESS
55530	SVOP	SV2 related protein homolog (rat)	MIKKELSEN_MEF_HCP_WITH_H3K27ME3		GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY		GO_TRANSMEMBRANE_TRANSPORT				
222662	LHFPL5	lipoma HMGIC fusion partner-like 5	MIKKELSEN_MEF_HCP_WITH_H3K27ME3				GO_ION_TRANSPORT			GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
551	AVP	arginine vasopressin	MIKKELSEN_MEF_HCP_WITH_H3K27ME3				GO_ION_TRANSPORT			GO_SYSTEM_PROCESS		
22986	SORCS3	sortilin-related VPS10 domain containing receptor 3	MIKKELSEN_MEF_HCP_WITH_H3K27ME3							GO_SYSTEM_PROCESS	BENPORATH_ES_WITH_H3K27ME3	GO_NEUROLOGICAL_SYSTEM_PROCESS
30813	VSX1	visual system homeobox 1	MIKKELSEN_MEF_HCP_WITH_H3K27ME3							GO_SYSTEM_PROCESS	BENPORATH_ES_WITH_H3K27ME3	GO_NEUROLOGICAL_SYSTEM_PROCESS
170825	GSX2	GS homeobox 2	MIKKELSEN_MEF_HCP_WITH_H3K27ME3							GO_SYSTEM_PROCESS	BENPORATH_ES_WITH_H3K27ME3	GO_NEUROLOGICAL_SYSTEM_PROCESS
5459	POU4F3	POU class 4 homeobox 3	MIKKELSEN_MEF_HCP_WITH_H3K27ME3							GO_SYSTEM_PROCESS	BENPORATH_ES_WITH_H3K27ME3	GO_NEUROLOGICAL_SYSTEM_PROCESS
5458	POU4F2	POU class 4 homeobox 2	MIKKELSEN_MEF_HCP_WITH_H3K27ME3							GO_SYSTEM_PROCESS	BENPORATH_ES_WITH_H3K27ME3	GO_NEUROLOGICAL_SYSTEM_PROCESS
4990	SIX6	SIX homeobox 6	MIKKELSEN_MEF_HCP_WITH_H3K27ME3							GO_SYSTEM_PROCESS	BENPORATH_ES_WITH_H3K27ME3	GO_NEUROLOGICAL_SYSTEM_PROCESS
84504	NKX6-2	NK6 homeobox 2	MIKKELSEN_MEF_HCP_WITH_H3K27ME3							GO_SYSTEM_PROCESS	BENPORATH_ES_WITH_H3K27ME3	GO_NEUROLOGICAL_SYSTEM_PROCESS
56751	BARHL1	BarH-like homeobox 1	MIKKELSEN_MEF_HCP_WITH_H3K27ME3							GO_SYSTEM_PROCESS	BENPORATH_ES_WITH_H3K27ME3	GO_NEUROLOGICAL_SYSTEM_PROCESS
8929	PHOX2B	paired-like homeobox 2b	MIKKELSEN_MEF_HCP_WITH_H3K27ME3							GO_SYSTEM_PROCESS	BENPORATH_ES_WITH_H3K27ME3	GO_NEUROLOGICAL_SYSTEM_PROCESS
30012	TLX3	T-cell leukemia homeobox 3	MIKKELSEN_MEF_HCP_WITH_H3K27ME3							GO_SYSTEM_PROCESS	BENPORATH_ES_WITH_H3K27ME3	GO_NEUROLOGICAL_SYSTEM_PROCESS
1392	CRH	corticotropin releasing hormone	MIKKELSEN_MEF_HCP_WITH_H3K27ME3							GO_SYSTEM_PROCESS	BENPORATH_ES_WITH_H3K27ME3	GO_NEUROLOGICAL_SYSTEM_PROCESS
84530	SRRM4	serine/arginine repetitive matrix 4	MIKKELSEN_MEF_HCP_WITH_H3K27ME3							GO_SYSTEM_PROCESS	BENPORATH_ES_WITH_H3K27ME3	GO_NEUROLOGICAL_SYSTEM_PROCESS
4654	MYOD1	myogenic differentiation 1	MIKKELSEN_MEF_HCP_WITH_H3K27ME3							GO_SYSTEM_PROCESS	BENPORATH_ES_WITH_H3K27ME3	
341359	SYT10	synaptotagmin X	MIKKELSEN_MEF_HCP_WITH_H3K27ME3							GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
2849	GPR26	G protein-coupled receptor 26	MIKKELSEN_MEF_HCP_WITH_H3K27ME3								BENPORATH_ES_WITH_H3K27ME3	
1630	DCC	deleted in colorectal carcinoma	MIKKELSEN_MEF_HCP_WITH_H3K27ME3								BENPORATH_ES_WITH_H3K27ME3	
2248	FGF3	fibroblast growth factor 3	MIKKELSEN_MEF_HCP_WITH_H3K27ME3								BENPORATH_ES_WITH_H3K27ME3	
64211	LHX5	LIM homeobox 5	MIKKELSEN_MEF_HCP_WITH_H3K27ME3								BENPORATH_ES_WITH_H3K27ME3	
10660	LBX1	ladybird homeobox 1	MIKKELSEN_MEF_HCP_WITH_H3K27ME3								BENPORATH_ES_WITH_H3K27ME3	
55079	FEZF2	FEZ family zinc finger 2	MIKKELSEN_MEF_HCP_WITH_H3K27ME3								BENPORATH_ES_WITH_H3K27ME3	
11023	VAX1	ventral anterior homeobox 1	MIKKELSEN_MEF_HCP_WITH_H3K27ME3								BENPORATH_ES_WITH_H3K27ME3	
219409	GSX1	GS homeobox 1	MIKKELSEN_MEF_HCP_WITH_H3K27ME3								BENPORATH_ES_WITH_H3K27ME3	
5075	PAX1	paired box 1	MIKKELSEN_MEF_HCP_WITH_H3K27ME3								BENPORATH_ES_WITH_H3K27ME3	
23440	OTP	orthopedia homeobox	MIKKELSEN_MEF_HCP_WITH_H3K27ME3								BENPORATH_ES_WITH_H3K27ME3	
56934	CA10	carbonic anhydrase X	MIKKELSEN_MEF_HCP_WITH_H3K27ME3								BENPORATH_ES_WITH_H3K27ME3	
4760	NEUROD1	neurogenic differentiation 1	MIKKELSEN_MEF_HCP_WITH_H3K27ME3								BENPORATH_ES_WITH_H3K27ME3	
148753	FAM163A	family with sequence similarity 163, member A	MIKKELSEN_MEF_HCP_WITH_H3K27ME3								BENPORATH_ES_WITH_H3K27ME3	
3167	HMX2	H6 family homeobox 2	MIKKELSEN_MEF_HCP_WITH_H3K27ME3								BENPORATH_ES_WITH_H3K27ME3	
84684	INSM2	insulinoma-associated 2	MIKKELSEN_MEF_HCP_WITH_H3K27ME3								BENPORATH_ES_WITH_H3K27ME3	
401	PHOX2A	paired-like homeobox 2a	MIKKELSEN_MEF_HCP_WITH_H3K27ME3								BENPORATH_ES_WITH_H3K27ME3	
10215	OLIG2	oligodendrocyte lineage transcription factor 2	MIKKELSEN_MEF_HCP_WITH_H3K27ME3								BENPORATH_ES_WITH_H3K27ME3	
5454	POU3F2	POU class 3 homeobox 2	MIKKELSEN_MEF_HCP_WITH_H3K27ME3								BENPORATH_ES_WITH_H3K27ME3	
9421	HAND1	heart and neural crest derivatives expressed 1	MIKKELSEN_MEF_HCP_WITH_H3K27ME3								BENPORATH_ES_WITH_H3K27ME3	
8022	LHX3	LIM homeobox 3	MIKKELSEN_MEF_HCP_WITH_H3K27ME3								BENPORATH_ES_WITH_H3K27ME3	
51412	ACTL6B	actin-like 6B	MIKKELSEN_MEF_HCP_WITH_H3K27ME3								BENPORATH_ES_WITH_H3K27ME3	
5992	RFX4	regulatory factor X, 4 (influences HLA class II expression)	MIKKELSEN_MEF_HCP_WITH_H3K27ME3								BENPORATH_ES_WITH_H3K27ME3	
6656	SOX1	SRY (sex determining region Y)-box 1	MIKKELSEN_MEF_HCP_WITH_H3K27ME3									
9228	DLGAP2	discs, large (Drosophila) homolog-associated protein 2	MIKKELSEN_MEF_HCP_WITH_H3K27ME3									
4009	LMX1A	LIM homeobox transcription factor 1, alpha	MIKKELSEN_MEF_HCP_WITH_H3K27ME3									
340260	UNCX	UNC homeobox	MIKKELSEN_MEF_HCP_WITH_H3K27ME3									
83482	SCRT1	scratch homolog 1, zinc finger protein (Drosophila)	MIKKELSEN_MEF_HCP_WITH_H3K27ME3									
7484	WNT9B	wingless-type MMTV integration site family, member 9B	MIKKELSEN_MEF_HCP_WITH_H3K27ME3									
51046	ST8SIA3	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3	MIKKELSEN_MEF_HCP_WITH_H3K27ME3									
3166	HMX1	H6 family homeobox 1	MIKKELSEN_MEF_HCP_WITH_H3K27ME3									
4808	NHLH2	nescient helix loop helix 2	MIKKELSEN_MEF_HCP_WITH_H3K27ME3									
654429	LRTM2	leucine-rich repeats and transmembrane domains 2	MIKKELSEN_MEF_HCP_WITH_H3K27ME3									
205147	FAM123C	family with sequence similarity 123C	MIKKELSEN_MEF_HCP_WITH_H3K27ME3									
283953	TMEM114	transmembrane protein 114	MIKKELSEN_MEF_HCP_WITH_H3K27ME3									
30010	NXPH1	neurexophilin 1	MIKKELSEN_MEF_HCP_WITH_H3K27ME3									
154288	C6orf221	chromosome 6 open reading frame 221	MIKKELSEN_MEF_HCP_WITH_H3K27ME3									
11317	RBPJL	recombination signal binding protein for immunoglobulin kappa J region-like	MIKKELSEN_MEF_HCP_WITH_H3K27ME3									
342865	VSTM2B	V-set and transmembrane domain containing 2B	MIKKELSEN_MEF_HCP_WITH_H3K27ME3									
730130	TMEM229A	transmembrane protein 229A	MIKKELSEN_MEF_HCP_WITH_H3K27ME3									
728116	ZBTB8B	zinc finger and BTB domain containing 8B	MIKKELSEN_MEF_HCP_WITH_H3K27ME3									
147719	LYPD4	LY6/PLAUR domain containing 4	MIKKELSEN_MEF_HCP_WITH_H3K27ME3									
2917	GRM7	glutamate receptor, metabotropic 7		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT	GO_SYSTEM_PROCESS	BENPORATH_ES_WITH_H3K27ME3	GO_NEUROLOGICAL_SYSTEM_PROCESS
3736	KCNA1	potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia)		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT	GO_SYSTEM_PROCESS	BENPORATH_ES_WITH_H3K27ME3	GO_NEUROLOGICAL_SYSTEM_PROCESS
2904	GRIN2B	glutamate receptor, ionotropic, N-methyl D-aspartate 2B		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT	GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
55584	CHRNA9	cholinergic receptor, nicotinic, alpha 9		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT	GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
2895	GRID2	glutamate receptor, ionotropic, delta 2		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT	GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
2890	GRIA1	glutamate receptor, ionotropic, AMPA 1		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT	GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
6547	SLC8A3	solute carrier family 8 (sodium/calcium exchanger), member 3		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT	GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
6323	SCN1A	sodium channel, voltage-gated, type I, alpha subunit		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT	GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
27091	CACNG5	calcium channel, voltage-dependent, gamma subunit 5		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT	GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
10369	CACNG2	calcium channel, voltage-dependent, gamma subunit 2		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT	GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
59284	CACNG7	calcium channel, voltage-dependent, gamma subunit 7		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT	GO_SYSTEM_PROCESS		GO_NEUROLOGICAL_SYSTEM_PROCESS
3758	KCNJ1	potassium inwardly-rectifying channel, subfamily J, member 1		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT	GO_SYSTEM_PROCESS		
359	AQP2	aquaporin 2 (collecting duct)		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT	GO_SYSTEM_PROCESS		
2557	GABRA4	gamma-aminobutyric acid (GABA) A receptor, alpha 4		GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	GO_TRANSPORTER_ACTIVITY	GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_ION_TRANSPORT	GO_TRANSMEMBRANE_TRANSPORT	GO_ION_TRANSMEMBRANE_TRANSPORT		BENPORATH_ES_WITH_H3K27ME3	
